street,suburb,postcode,price_data,price_num,State,nbn_score,price_month,price_month_gbp,price_diff_abs,price_diff_prop
37A Birdwood Street, Mitcham,5062,$420 per week,420,SA,0.75,1680,940.8000000000001,794.1999999999999,0.46
234 Military Road, Henley Beach,5022,$420.00 pets negotiable!,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
4 Todd Place, Adelaide,5000,$495.00 per week,495,SA,0.56,1980,1108.8000000000002,626.1999999999998,0.36
5/81-85 Carrington Street, Adelaide,5000,$420 per week,420,SA,0.56,1680,940.8000000000001,794.1999999999999,0.46
2/175 Kensington Road, Kensington,5068,$450,450,NA,NA,1800,1008.0000000000001,726.9999999999999,0.42
11/35 Nile Street, Glenelg,5045,$350 per week,350,NA,NA,1400,784.0000000000001,950.9999999999999,0.55
23 Parkview Drive, Tea Tree Gully,5091,$430 Per Week,430,SA,1,1720,963.2,771.8,0.44
132 Cudmore Tce, Henley Beach,5022,$410 per week,410,NA,NA,1640,918.4000000000001,816.5999999999999,0.47
11/311 Young Street, Wayville,5034,$400 per week,400,SA,1,1600,896.0000000000001,838.9999999999999,0.48
14c Holland Street, Thebarton,5031,$350 per week,350,NA,NA,1400,784.0000000000001,950.9999999999999,0.55
10A Bowen Street, Kensington,5068,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
20D Colley Terrace, Glenelg,5045,$400 per week,400,NA,NA,1600,896.0000000000001,838.9999999999999,0.48
4 Rudford Street, Brighton,5048,$440 per week,440,SA,1,1760,985.6000000000001,749.3999999999999,0.43
23A Hamley Street, Adelaide,5000,$425 per week,425,SA,0.56,1700,952.0000000000001,782.9999999999999,0.45
162b goodwood rd, Goodwood,5034,$400 per week,400,SA,1,1600,896.0000000000001,838.9999999999999,0.48
144 WRIGHT STREET, Adelaide,5000,$400 per week,400,SA,0.56,1600,896.0000000000001,838.9999999999999,0.48
Adelaide, address available on request,NA,$750 per week,750,NA,NA,3e3,1680.0000000000002,54.99999999999977,0.03
602 Grange Road, Henley Beach,5022,$415 per week,415,NA,NA,1660,929.6000000000001,805.3999999999999,0.46
2/34 Devon Street South, Goodwood,5034,$420 per week,420,SA,1,1680,940.8000000000001,794.1999999999999,0.46
3/293 Melbourne Street, North Adelaide,5006,$440 p.w.,440,SA,0,1760,985.6000000000001,749.3999999999999,0.43
64 Davenport Terrace, Seacliff Park,5049,$420 per week,420,NA,NA,1680,940.8000000000001,794.1999999999999,0.46
30 Noya Avenue, Modbury Heights,5092,$420 / Wk,420,SA,1,1680,940.8000000000001,794.1999999999999,0.46
89 Folkestone Road, Dover Gardens,5048,$340 per week,340,SA,1,1360,761.6,973.4,0.56
26 Wheaton Road, Stepney,5069,$400,400,SA,0,1600,896.0000000000001,838.9999999999999,0.48
6 Corroboree Road, Modbury North,5092,$365 per week,365,SA,1,1460,817.6,917.4,0.53
61 Avenue Road, Cumberland Park,5041,$410 Per week,410,SA,1,1640,918.4000000000001,816.5999999999999,0.47
